,Rank,Company,Location,Year end,Sales £m,% annual growth,Profit £m,Staff,Main shareholders
0,1,"INEOS
(Chemicals manufacturer)",Switzerland / UK,Dec 17,"*26,862",35.7,"*4,891","18,500","Sir Jim Ratcliffe (60%), John Reece (20%), Andy Currie (20%)"
1,2,"Greenergy
(Fuel supplier)",Central London,Dec 18,"*16,836",7.4,*54,971,"Brookfield Business Partners (85%), management (15%)"
2,3,"EG Group
(Fuel forecourt operator)",Blackburn,Dec 18,"*10,621",135.0,*446,"20,275","Issa family (50%), TDR Capital (50%)"
3,4,"Swire
(Conglomerate)",Central London,Dec 18,"*10,580",1.2,"*1,724","92,256","Swire family (67%), others (33%)"
4,5,"John Lewis Partnership
(Food and general retailer)",Central London,Jan 19,"10,317",1.0,637,"83,700",Employees (100%)
5,6,"Pentland Group
(Brand manager and retailer)",North London,Dec 18,"*5,056",38.9,*507,"29,490",Rubin family (100%)
6,7,"Dyson
(Appliance manufacturer)",Singapore,Dec 18,"*4,400",24.4,"*1,100","9,500",Sir James Dyson and family (100%)
7,8,"Arnold Clark
(Car dealer)",Glasgow,Dec 18,"*4,237",7.8,*294,"12,232",Clark family and trusts (100%)
8,9,"MFG
(Fuel forecourt operator)",St Albans,Dec 18,"*3,378",93.4,*204,444,"Clayton Dubilier & Rice (>50%), management inc. Alasdair Locke (<50%)"
9,10,"EMR
(Metal recycler)",Warrington,Dec 18,"*3,369",2.2,*149,"3,288",Sheppard family (100%)
10,11,"JCB
(Construction equipment manufacturer)",Staffordshire,Dec 17,"3,354",28.0,266,"10,378",Bamford family interests (100%)
11,12,"2 Sisters Food Group
(Food producer)",Birmingham,Jul 18,"3,339",1.5,115,"21,949",Baljinder and Ranjit Boparan (100%)
12,13,"Bestway Group
(Conglomerate)",West London,Jun 18,"3,224",-2.1,457,"27,919","Sir Anwar Pervez and family (88%), management (12%)"
13,14,"Iceland
(Frozen food retailer)",North Wales,Mar 19,"3,085",4.2,140,"15,800","Brait (63%), Sir Malcolm Walker and management (37%)"
14,15,"Heathrow
(Airport)",Heathrow,Dec 18,"2,970",3.0,"1,954","7,276","Ferrovial (25%), Qatar Investment Authority (20%), CDPQ (13%), GIC (11%), Alinda (11%), CIC (10%), USS (10%)"
15,16,"bet365
(Online bookmaker)",Stoke-on-Trent,Mar 18,"2,857",25.4,715,"4,236","Coates family (93%), Will Roseff (7%)"
16,17,"Specsavers
(Optical and hearing aid retailer)",Guernsey,Feb 19,"*2,780",6.3,n/a,"35,000",Perkins family and branch co-owners (100%)
17,18,"Laing O’Rourke
(Engineering and construction group)",Dartford,Mar 18,"2,758",-6.0,31,"12,796",Ray O’Rourke and Des O’Rourke through Suffolk Partners Corporation (100%)
18,19,"Radius Payment Solutions
(Fleet services provider)",Crewe,Mar 19,"*2,488",15.8,*80,"1,391","Bill Holmes (44%), Inflexion Private Equity (24%), Roy Sciortino (11%), other management (21%)"
19,20,"Marshall Group
(Conglomerate)",Cambridge,Dec 18,"2,484",-4.6,58,"5,797","Sir Michael Marshall, Robert Marshall & family trusts (71%), others (29%)"
